Date;Weekday;Down;Up;Total
;1;3049.285;2798.573;5847.858
2016-01-27;3;2010.408;10572.526;12582.934
2016-01-28;4;170877.066;7924.585;178801.651
2016-01-29;5;845.560;1548.208;2393.768
2016-01-30;6;1639.117;3358.357;4997.474
2016-01-31;7;1660.584;2298.394;3958.978
2016-02-01;1;2720.743;4050.177;6770.920
2016-02-02;2;3422.857;4867.237;8290.094
2016-02-03;3;3179.556;6331.074;9510.630
2016-02-04;4;3244.249;4913.650;8157.899
2016-02-05;5;3064.624;4512.449;7577.073
2016-02-06;6;3714.950;5188.116;8903.066
2016-02-07;7;2561.024;5813.627;8374.651
2016-02-08;1;1952.857;2496.824;4449.681
2016-02-09;2;5099.749;6892.464;11992.213
2016-02-10;3;2172.637;5556.532;7729.169
2016-02-11;4;6162.299;14770.814;20933.113
2016-02-12;5;1909.745;3859.000;5768.745
2016-02-13;6;1811.526;2252.441;4063.967
2016-02-14;7;1594.639;1989.546;3584.185
2016-02-15;1;1501.672;1822.699;3324.371
2016-02-16;2;1081.951;1610.022;2691.973
2016-02-17;3;1347.540;1690.581;3038.121
2016-02-18;4;13700.738;1182.687;14883.425
